url,avgPrice,cosine,lat,lng,memberId,shopId,shop_district,...
http://www.dianping.com/shop/5526314,25,面包甜点,30.519393,114.181631,4529157,5526314,沌口,{}
http://www.dianping.com/shop/17619912,35,咖啡厅,30.558492,114.20786,4529157,17619912,王家湾,{}
http://www.dianping.com/shop/2299912,6,小吃快餐,30.58023,114.26788,2768700,2299912,武汉广场,{}
http://www.dianping.com/shop/3021868,36,其他,30.546996,114.299273,1639497,3021868,司门口,{}
http://www.dianping.com/shop/2068732,55,火锅,30.549997,114.266403,1639497,2068732,钟家村,{}
http://www.dianping.com/shop/3995599,24,小吃快餐,30.58209,114.26545,1639497,3995599,宝丰,{}
http://www.dianping.com/shop/2378086,65,西餐,30.617703,114.285648,1639497,2378086,花桥,{}
http://www.dianping.com/shop/549204,6,小吃快餐,30.601396,114.273983,1639497,549204,西北湖,{}
http://www.dianping.com/shop/22711693,17,小吃快餐,30.573726,114.270066,4529157,22711693,武汉广场,{}
http://www.dianping.com/shop/22642801,63,小吃快餐,30.616121,114.166591,4529157,22642801,古田路,{}
http://www.dianping.com/shop/23410013,49,咖啡厅,30.616705,114.167262,4529157,23410013,古田路,{}
http://www.dianping.com/shop/8936130,58,火锅,30.583137,114.289323,6497088,8936130,江汉路步行街,{}
http://www.dianping.com/shop/18544848,76,川菜,30.569069,114.267729,6497088,18544848,武胜路,{}
http://www.dianping.com/shop/6600683,6,小吃快餐,30.57905,114.28978,6497088,6600683,江汉路步行街,{}
http://www.dianping.com/shop/19464897,13,小吃快餐,30.582424,114.268902,6497088,19464897,万松园,{}
http://www.dianping.com/shop/13848090,24,小吃快餐,30.578502,114.287831,6497088,13848090,江汉路步行街,{}
http://www.dianping.com/shop/20772913,22,小吃快餐,30.58859,114.27975,6497088,20772913,江岸区,{}
http://www.dianping.com/shop/20622917,14,面包甜点,30.526496,114.355805,1639497,20622917,石牌岭/街道口,{}
http://www.dianping.com/shop/5363102,59,火锅,30.543136,114.29824,1639497,5363102,阅马场,{}
http://www.dianping.com/shop/19240847,90,川菜,30.589842,114.276944,1639497,19240847,江汉路步行街,{}
http://www.dianping.com/shop/8045624,79,日本料理,30.57733,114.289928,416730,8045624,江汉路步行街,{}
http://www.dianping.com/shop/16815071,22,小吃快餐,30.516415,114.415523,40213638,16815071,光谷/鲁巷,{}
http://www.dianping.com/shop/13667341,137,江浙菜,30.607483,114.311546,416730,13667341,解放公园,{}
http://www.dianping.com/shop/13893845,29,面包甜点,30.607982,114.310767,416730,13893845,解放公园,{}
http://www.dianping.com/shop/16985132,61,川菜,30.506315,114.405485,40213638,16985132,光谷/鲁巷,{}
http://www.dianping.com/shop/17924977,16,面包甜点,30.516718,114.415266,40213638,17924977,光谷/鲁巷,{}
http://www.dianping.com/shop/1928455,55,粤菜,30.59664,114.278326,2768700,1928455,港澳台风情街,{}
http://www.dianping.com/shop/3481870,22,面包甜点,30.496025,114.396978,2768700,3481870,光谷/鲁巷,{}
http://www.dianping.com/shop/17892335,34,卤味,30.523142,114.364004,40213638,17892335,广埠屯,{}
http://www.dianping.com/shop/6206110,143,日本料理,30.5934,114.272683,6497088,6206110,万松园,{}
http://www.dianping.com/shop/24814436,15,卤味,30.498718,114.167875,6497088,24814436,沌口,{}
http://www.dianping.com/shop/585221,132,湘菜,30.609215,114.290224,1639497,585221,解放公园,{}
http://www.dianping.com/shop/2287510,69,日本料理,30.580148,114.269162,2768700,2287510,武汉广场,{}
http://www.dianping.com/shop/23111699,131,面包甜点,30.609737,114.242137,6497088,23111699,江汉区,{}
http://www.dianping.com/shop/2379601,44,西餐,30.58256052,114.28995,2768700,2379601,江汉路步行街,{}
http://www.dianping.com/shop/13763640,60,西餐,30.5911166,114.2937844,6497088,13763640,客运港/江滩,{}
http://www.dianping.com/shop/56534810,70,火锅,30.587971,114.274011,6497088,56534810,武汉广场,{}
http://www.dianping.com/shop/19485673,40,火锅,30.623466,114.256443,6497088,19485673,汉口火车站,{}
http://www.dianping.com/shop/9951288,47,粤菜,30.52563,114.35532,4529157,9951288,石牌岭/街道口,{}
http://www.dianping.com/shop/58745423,16,日本料理,30.525714,114.355365,4529157,58745423,石牌岭/街道口,{}
http://www.dianping.com/shop/20630791,33,日本料理,30.52645,114.35546,4529157,20630791,石牌岭/街道口,{}
http://www.dianping.com/shop/9635592,52,火锅,30.507312,114.410065,40213638,9635592,光谷/鲁巷,{}
http://www.dianping.com/shop/16961894,61,川菜,30.501712,114.407423,40213638,16961894,光谷/鲁巷,{}
http://www.dianping.com/shop/2033605,66,火锅,30.581107,114.284823,2768700,2033605,六渡桥,{}
http://www.dianping.com/shop/2044804,37,咖啡厅,30.5877,114.29958,2768700,2044804,客运港/江滩,{}
http://www.dianping.com/shop/2612608,51,西餐,30.524046,114.360898,6497088,2612608,广埠屯,{}
http://www.dianping.com/shop/6242838,32,咖啡厅,30.568917,114.266405,4529157,6242838,武胜路,{}
http://www.dianping.com/shop/69350576,54,西餐,30.605283,114.309435,4529157,69350576,解放公园,{}
http://www.dianping.com/shop/2897590,45,小吃快餐,30.57228,114.26339,2768700,2897590,武胜路,{}
http://www.dianping.com/shop/18618178,45,小吃快餐,30.587672,114.25674,7573971,18618178,江汉路步行街,{}
http://www.dianping.com/shop/5271334,8,小吃快餐,30.578784,114.291225,4529157,5271334,江汉路步行街,{}
http://www.dianping.com/shop/2633344,55,自助餐,30.578926,114.291059,4529157,2633344,江汉路步行街,{}
http://www.dianping.com/shop/2027134,57,小吃快餐,30.576836,114.250418,2768700,2027134,硚口路,{}
http://www.dianping.com/shop/2799193,12,小吃快餐,30.500658,114.343256,2768700,2799193,光谷/鲁巷,{}
http://www.dianping.com/shop/1965811,25,小吃快餐,30.578285,114.292362,2768700,1965811,江汉路步行街,{}
http://www.dianping.com/shop/22388568,10,面包甜点,30.610347,114.266156,7573971,22388568,唐家墩/菱角湖,{}
http://www.dianping.com/shop/2516890,57,面包甜点,30.581908831021458,114.25559013658224,7573971,2516890,宝丰,{}
http://www.dianping.com/shop/6088664,64,日本料理,30.52863,114.343268,40213638,6088664,武昌区,{}
http://www.dianping.com/shop/10328591,14,小吃快餐,30.507890186780934,114.41743997165565,40213638,10328591,光谷/鲁巷,{}
http://www.dianping.com/shop/2719240,75,日本料理,30.525714,114.355365,40213638,2719240,石牌岭/街道口,{}
http://www.dianping.com/shop/3312481,59,火锅,30.502561,114.406703,40213638,3312481,光谷/鲁巷,{}
http://www.dianping.com/shop/563467,23,小吃快餐,30.516116,114.408133,40213638,563467,光谷/鲁巷,{}
http://www.dianping.com/shop/6082977,21,面包甜点,30.525714,114.355365,40213638,6082977,石牌岭/街道口,{}
http://www.dianping.com/shop/548652,73,湖北菜,30.575513,114.25119,6497088,548652,硚口路,{}
http://www.dianping.com/shop/2449030,37,川菜,30.506789,114.416462,40213638,2449030,光谷/鲁巷,{}
http://www.dianping.com/shop/1936750,356,湖北菜,30.599018,114.271017,6497088,1936750,江汉区,{}
http://www.dianping.com/shop/549459,482,湖北菜,30.588247,114.30323,6497088,549459,客运港/江滩,{}
http://www.dianping.com/shop/8990543,26,面包甜点,30.615225,114.262469,3454876,8990543,汉口火车站,{}
http://www.dianping.com/shop/9344820,36,咖啡厅,30.614163,114.263474,3454876,9344820,唐家墩/菱角湖,{}
