url,district,shopId,...
http://www.dianping.com/shop/58946342,江汉区,"58946342
",{}
http://www.dianping.com/shop/24298702,光谷/鲁巷,"24298702
",{}
http://www.dianping.com/shop/50773245,光谷/鲁巷,"50773245
",{}
http://www.dianping.com/shop/66706068,光谷/鲁巷,"66706068
",{}
http://www.dianping.com/shop/59188475,洪山区,"59188475
",{}
http://www.dianping.com/shop/59421521,洪山区,"59421521
",{}
http://www.dianping.com/shop/2864395,武昌火车站,"2864395
",{}
http://www.dianping.com/shop/58550337,洪山区,"58550337
",{}
http://www.dianping.com/shop/22889768,光谷/鲁巷,"22889768
",{}
http://www.dianping.com/shop/58480025,江汉区,"58480025
",{}
http://www.dianping.com/shop/83515464,东西湖区,"83515464
",{}
http://www.dianping.com/shop/5726009,徐东大街,"5726009
",{}
http://www.dianping.com/shop/37773403,解放公园,"37773403
",{}
http://www.dianping.com/shop/32856367,江汉路步行街,"32856367
",{}
http://www.dianping.com/shop/67793948,硚口区,"67793948
",{}
http://www.dianping.com/shop/69831062,硚口区,"69831062
",{}
http://www.dianping.com/shop/68546694,江岸区,"68546694
",{}
http://www.dianping.com/shop/59252609,光谷/鲁巷,"59252609
",{}
http://www.dianping.com/shop/79628677,宝丰,"79628677
",{}
http://www.dianping.com/shop/90304447,汉阳区,"90304447
",{}
http://www.dianping.com/shop/24024949,徐东大街,"24024949
",{}
http://www.dianping.com/shop/79286611,南门,"79286611
",{}
http://www.dianping.com/shop/24729001,万松园,"24729001
",{}
http://www.dianping.com/shop/69700503,江岸区,"69700503
",{}
http://www.dianping.com/shop/73503821,江汉区,"73503821
",{}
http://www.dianping.com/shop/77280320,江岸区,"77280320
",{}
http://www.dianping.com/shop/67650338,武胜路,"67650338
",{}
http://www.dianping.com/shop/69623911,江汉区,"69623911
",{}
http://www.dianping.com/shop/17524895,汉口火车站,"17524895
",{}
http://www.dianping.com/shop/33579071,光谷/鲁巷,"33579071
",{}
http://www.dianping.com/shop/32843860,汉阳大道,"32843860
",{}
http://www.dianping.com/shop/77272459,江汉区,"77272459
",{}
http://www.dianping.com/shop/50582503,江岸区,"50582503
",{}
http://www.dianping.com/shop/69043515,武昌区,"69043515
",{}
http://www.dianping.com/shop/17184431,江汉路步行街,"17184431
",{}
http://www.dianping.com/shop/69173560,石牌岭/街道口,"69173560
",{}
http://www.dianping.com/shop/43699054,江岸区,"43699054
",{}
http://www.dianping.com/shop/66677618,汉阳区,"66677618
",{}
http://www.dianping.com/shop/10650727,客运港/江滩,"10650727
",{}
http://www.dianping.com/shop/67018248,黄陂区,"67018248
",{}
http://www.dianping.com/shop/73423449,江汉区,"73423449
",{}
http://www.dianping.com/shop/79679103,江汉区,"79679103
",{}
http://www.dianping.com/shop/69432082,武昌区,"69432082
",{}
http://www.dianping.com/shop/79420873,硚口区,"79420873
",{}
http://www.dianping.com/shop/3112816,卓刀泉,"3112816
",{}
http://www.dianping.com/shop/80545739,江汉区,"80545739
",{}
http://www.dianping.com/shop/67099357,硚口区,"67099357
",{}
http://www.dianping.com/shop/67342930,楚河汉街,"67342930
",{}
http://www.dianping.com/shop/3546115,南湖花园,"3546115
",{}
http://www.dianping.com/shop/80817310,宝丰,"80817310
",{}
http://www.dianping.com/shop/20622788,洪山区,"20622788
",{}
http://www.dianping.com/shop/22658740,徐东大街,"22658740
",{}
http://www.dianping.com/shop/66249515,江岸区,"66249515
",{}
http://www.dianping.com/shop/22372323,洪山区,"22372323
",{}
http://www.dianping.com/shop/23441194,广埠屯,"23441194
",{}
http://www.dianping.com/shop/59005223,江汉路步行街,"59005223
",{}
http://www.dianping.com/shop/38230815,光谷/鲁巷,"38230815
",{}
http://www.dianping.com/shop/66709041,江汉区,"66709041
",{}
http://www.dianping.com/shop/18653847,八大家/红钢城,"18653847
",{}
http://www.dianping.com/shop/17689824,江汉路步行街,"17689824
",{}
http://www.dianping.com/shop/68126551,大东门/小东门,"68126551
",{}
http://www.dianping.com/shop/67045294,硚口区,"67045294
",{}
http://www.dianping.com/shop/48040699,江汉路步行街,"48040699
",{}
http://www.dianping.com/shop/48019745,唐家墩/菱角湖,"48019745
",{}
http://www.dianping.com/shop/56589619,客运港/江滩,"56589619
",{}
http://www.dianping.com/shop/19214636,宝丰,"19214636
",{}
http://www.dianping.com/shop/65839929,武昌区,"65839929
",{}
http://www.dianping.com/shop/66630805,司门口,"66630805
",{}
http://www.dianping.com/shop/38118745,洪山区,"38118745
",{}
http://www.dianping.com/shop/69786468,唐家墩/菱角湖,"69786468
",{}
http://www.dianping.com/shop/66456622,光谷/鲁巷,"66456622
",{}
http://www.dianping.com/shop/65888617,东西湖区,"65888617
",{}
http://www.dianping.com/shop/57501670,江汉路步行街,"57501670
",{}
http://www.dianping.com/shop/70002374,江汉区,"70002374
",{}
http://www.dianping.com/shop/58554719,新洲区,"58554719
",{}
http://www.dianping.com/shop/76658071,江夏区,"76658071
",{}
http://www.dianping.com/shop/67965865,江岸区,"67965865
",{}
http://www.dianping.com/shop/65849177,江岸区,"65849177
",{}
http://www.dianping.com/shop/77231964,武昌区,"77231964
",{}
http://www.dianping.com/shop/23314079,光谷/鲁巷,"23314079
",{}
http://www.dianping.com/shop/75139040,黄陂区,"75139040
",{}
http://www.dianping.com/shop/9063364,八大家/红钢城,"9063364
",{}
http://www.dianping.com/shop/69620040,江汉区,"69620040
",{}
http://www.dianping.com/shop/50459809,江岸区,"50459809
",{}
http://www.dianping.com/shop/38216228,江岸区,"38216228
",{}
http://www.dianping.com/shop/67867870,洪山区,"67867870
",{}
http://www.dianping.com/shop/59298251,洪山区,"59298251
",{}
http://www.dianping.com/shop/26910733,光谷/鲁巷,"26910733
",{}
http://www.dianping.com/shop/39695857,洪山区,"39695857
",{}
http://www.dianping.com/shop/27283119,江汉路步行街,"27283119
",{}
http://www.dianping.com/shop/68341800,江汉区,"68341800
",{}
http://www.dianping.com/shop/21139679,洪山区,"21139679
",{}
http://www.dianping.com/shop/5998104,港澳台风情街,"5998104
",{}
http://www.dianping.com/shop/67648654,江岸区,"67648654
",{}
http://www.dianping.com/shop/68599449,硚口区,"68599449
",{}
http://www.dianping.com/shop/58880707,新洲区,"58880707
",{}
http://www.dianping.com/shop/67964764,江汉区,"67964764
",{}
http://www.dianping.com/shop/66985448,楚河汉街,"66985448
",{}
http://www.dianping.com/shop/68275646,江夏区,"68275646
",{}
http://www.dianping.com/shop/65860885,光谷/鲁巷,"65860885
",{}
http://www.dianping.com/shop/67334887,洪山区,"67334887
",{}
http://www.dianping.com/shop/41587178,汉阳区,"41587178
",{}
http://www.dianping.com/shop/66856357,雄楚大道,"66856357
",{}
http://www.dianping.com/shop/66576451,光谷/鲁巷,"66576451
",{}
http://www.dianping.com/shop/66781331,洪山区,"66781331
",{}
http://www.dianping.com/shop/63180122,光谷/鲁巷,"63180122
",{}
http://www.dianping.com/shop/66662582,江汉区,"66662582
",{}
http://www.dianping.com/shop/19003944,水果湖,"19003944
",{}
http://www.dianping.com/shop/17685065,中南路,"17685065
",{}
http://www.dianping.com/shop/67654936,江汉区,"67654936
",{}
http://www.dianping.com/shop/32477555,王家湾,"32477555
",{}
http://www.dianping.com/shop/68582871,洪山区,"68582871
",{}
http://www.dianping.com/shop/22806735,南湖花园,"22806735
",{}
http://www.dianping.com/shop/67499513,江汉区,"67499513
",{}
http://www.dianping.com/shop/59030107,洪山区,"59030107
",{}
http://www.dianping.com/shop/67742915,洪山区,"67742915
",{}
http://www.dianping.com/shop/83531441,王家湾,"83531441
",{}
http://www.dianping.com/shop/9560441,水果湖,"9560441
",{}
http://www.dianping.com/shop/59109181,洪山区,"59109181
",{}
http://www.dianping.com/shop/68042148,硚口区,"68042148
",{}
